(150, 2.5933714507219694)
(279, 8.740223463687151)
(311, 9.209631728045325)
(343, 10.502057613168724)
(375, 12.198275862068966)
(407, 14.089108910891088)
(439, 16.634146341463413)
(471, 17.65)
(503, 23.466666666666665)
(535, 18.555555555555557)
(567, 26.5)
(599, 25.5)
(87, 17.940568475452196)
(119, 4.075770191507077)
(23, 2.4248643035823854)
(55, 9.025139788763646)
(151, 3.9515469935785172)
(183, 5.252832438878951)
(215, 5.798844537815126)
(247, 6.641803278688524)
(344, 9.56884875846501)
(376, 11.711442786069652)
(408, 12.934131736526947)
(440, 14.673267326732674)
(472, 20.423076923076923)
(504, 16.391304347826086)
(536, 17.0)
(568, 17.333333333333332)
(600, 29.5)
(632, 26.0)
(56, 9.170954764466483)
(280, 7.957854406130268)
(24, 2.5835444050443916)
(88, 14.647917793401838)
(152, 2.753329602686066)
(184, 4.293242890686146)
(216, 4.5846628924343795)
(248, 5.537650602409639)
(120, 2.0108216432865733)
(312, 8.256338028169013)
(409, 14.097560975609756)
(441, 14.0)
(473, 16.1875)
(505, 21.294117647058822)
(537, 22.0)
(345, 11.323671497584542)
(601, 27.444444444444443)
(569, 27.0)
(121, 4.421263791374122)
(57, 9.495384458025418)
(89, 17.934697088906372)
(25, 2.7448788466916967)
(153, 4.3899537343027095)
(217, 6.110124333925399)
(249, 7.349094567404427)
(281, 8.645631067961165)
(313, 10.06711409395973)
(185, 4.908479138627187)
(377, 12.211538461538462)
(474, 19.02777777777778)
(506, 16.782608695652176)
(538, 22.181818181818183)
(282, 7.369807497467072)
(602, 12.75)
(634, 28.0)
(570, 20.333333333333332)
(378, 11.438650306748466)
(58, 9.758802382063173)
(90, 8.665431641348647)
(154, 3.3491749174917493)
(186, 3.595101742415012)
(218, 4.730916762562332)
(250, 6.45361484325016)
(26, 2.9101255311874175)
(314, 8.457869634340222)
(346, 10.62081784386617)
(122, 2.2162633783154955)
(410, 13.202453987730062)
(442, 14.186046511627907)
(539, 16.0)
(571, 41.333333333333336)
(603, 18.142857142857142)
(59, 9.989358280953077)
(379, 12.858267716535433)
(27, 3.096445182462795)
(635, 53.0)
(91, 18.604208416833668)
(155, 4.101106639839034)
